Training_ID,Employee_ID,Training_Name,Provider,Start_Date,End_Date,Training_Cost,Certification_Status
T000054,E00021,Workplace Safety & Compliance,Internal L&D,2020-07-08,2020-07-11,383.6,Completed
T000055,E00021,Workplace Safety & Compliance,Internal L&D,2024-11-16,2024-11-25,2362.03,Completed
T000056,E00022,Leadership Excellence,Dale Carnegie,2023-10-04,2023-10-11,3010.95,Completed
T000057,E00022,Diversity & Inclusion Workshop,Internal L&D,2025-01-15,2025-01-19,689.91,In Progress
T000058,E00022,Power BI for Business,Microsoft Learn,2025-05-11,2025-05-13,3347.55,Completed
T000059,E00022,Advanced Excel & Data Analysis,Coursera,2024-02-29,2024-03-08,2122.08,Completed
T000060,E00022,Python for Data Analysis,Coursera,2023-03-15,2023-03-20,1750.9,Completed
T000061,E00022,Sales Negotiation Skills,Miller Heiman,2024-03-11,2024-03-20,1153.35,Completed
T000062,E00023,Customer Service Excellence,Internal L&D,2023-09-22,2023-09-28,574.31,Completed
T000063,E00023,Customer Service Excellence,Internal L&D,2022-03-23,2022-04-01,562.07,Completed
T000064,E00023,Python for Data Analysis,Coursera,2022-08-13,2022-08-18,2473.9,Completed
T000065,E00023,Cloud Computing Fundamentals,AWS Training,2021-12-04,2021-12-09,436.82,In Progress
T000066,E00023,Diversity & Inclusion Workshop,Internal L&D,2024-07-20,2024-07-26,184.13,Not Certified
T000067,E00023,Python for Data Analysis,Coursera,2021-12-27,2022-01-06,2979.18,In Progress
T000068,E00024,Effective Communication,LinkedIn Learning,2024-12-15,2024-12-17,2038.98,Completed
T000069,E00024,Sales Negotiation Skills,Miller Heiman,2022-02-12,2022-02-22,3474.68,Completed
T000070,E00024,Advanced Excel & Data Analysis,Coursera,2022-10-16,2022-10-21,2809.85,In Progress
T000071,E00026,Leadership Excellence,Dale Carnegie,2020-07-25,2020-08-03,3236.99,Completed
T000072,E00026,Python for Data Analysis,Coursera,2024-03-25,2024-04-04,1177.32,Completed
T000073,E00026,Project Management Professional,PMI,2023-05-28,2023-06-02,391.12,Not Certified
T000074,E00026,Cybersecurity Awareness,Udemy,2020-05-07,2020-05-16,1680.15,Not Certified
T000075,E00026,Leadership Excellence,Dale Carnegie,2021-05-02,2021-05-07,1918.3,In Progress
T000076,E00026,Python for Data Analysis,Coursera,2020-12-18,2020-12-26,253.12,Completed
T000077,E00027,Diversity & Inclusion Workshop,Internal L&D,2025-04-13,2025-04-21,3178.11,In Progress
T000078,E00027,Cloud Computing Fundamentals,AWS Training,2025-05-17,2025-05-19,569.37,Completed
T000079,E00027,Workplace Safety & Compliance,Internal L&D,2025-03-06,2025-03-09,482.57,Not Certified
T000080,E00028,Leadership Excellence,Dale Carnegie,2025-05-23,2025-05-31,2940.32,Completed
T000081,E00030,Advanced Excel & Data Analysis,Coursera,2020-07-02,2020-07-06,2362.29,Completed
T000082,E00032,Power BI for Business,Microsoft Learn,2022-07-20,2022-07-25,1508.7,Completed
T000083,E00032,Effective Communication,LinkedIn Learning,2022-05-10,2022-05-12,2568.86,Not Certified
T000084,E00032,Sales Negotiation Skills,Miller Heiman,2022-09-02,2022-09-04,2764.73,Not Certified
T000085,E00032,Cloud Computing Fundamentals,AWS Training,2022-03-30,2022-04-05,2638.65,Not Certified
T000086,E00034,Customer Service Excellence,Internal L&D,2022-08-30,2022-09-04,2224.49,Completed
T000087,E00034,Effective Communication,LinkedIn Learning,2024-07-07,2024-07-11,1848.25,Completed
T000088,E00034,Cybersecurity Awareness,Udemy,2024-01-09,2024-01-16,2973.81,Not Certified
T000089,E00034,Agile & Scrum Master,Scrum.org,2023-06-16,2023-06-18,1459.85,In Progress
T000090,E00034,Advanced Excel & Data Analysis,Coursera,2023-04-21,2023-04-26,713.58,Completed
T000091,E00034,Effective Communication,LinkedIn Learning,2023-09-04,2023-09-08,190.58,Completed
T000092,E00036,Leadership Excellence,Dale Carnegie,2024-12-03,2024-12-11,236.29,In Progress
T000093,E00037,Python for Data Analysis,Coursera,2024-05-01,2024-05-06,1939.03,Completed
T000094,E00037,Python for Data Analysis,Coursera,2024-06-24,2024-06-29,405.59,Completed
T000095,E00038,Project Management Professional,PMI,2021-12-14,2021-12-18,1019.3,Not Certified
T000096,E00038,Power BI for Business,Microsoft Learn,2021-11-01,2021-11-10,2043.67,Completed
T000097,E00040,Agile & Scrum Master,Scrum.org,2025-05-22,2025-05-28,2358.05,Completed
T000098,E00041,Cybersecurity Awareness,Udemy,2024-05-19,2024-05-28,1005.67,Not Certified
T000099,E00041,Cloud Computing Fundamentals,AWS Training,2022-06-27,2022-06-30,1901.96,Not Certified
T000100,E00041,Sales Negotiation Skills,Miller Heiman,2023-02-27,2023-03-08,555.16,In Progress
T000101,E00041,Effective Communication,LinkedIn Learning,2022-03-12,2022-03-19,2116.26,Completed
T000102,E00041,Financial Modeling,Wall Street Prep,2022-11-24,2022-11-27,1686.26,Not Certified
T000103,E00041,Project Management Professional,PMI,2024-07-19,2024-07-28,2220.07,Not Certified
T000104,E00043,Power BI for Business,Microsoft Learn,2021-04-11,2021-04-14,2656.09,Not Certified
T000105,E00043,Six Sigma Green Belt,ASQ,2021-04-02,2021-04-06,3195.74,In Progress
T000106,E00043,Six Sigma Green Belt,ASQ,2021-01-28,2021-02-05,864.22,Completed
T000107,E00044,Customer Service Excellence,Internal L&D,2025-02-01,2025-02-05,1765.97,Completed
T000108,E00044,Advanced Excel & Data Analysis,Coursera,2024-11-13,2024-11-23,2104.48,Not Certified
T000109,E00045,Customer Service Excellence,Internal L&D,2025-01-28,2025-02-03,2031.77,Completed
T000110,E00047,Sales Negotiation Skills,Miller Heiman,2024-05-30,2024-06-09,3240.11,Completed
T000111,E00048,Cloud Computing Fundamentals,AWS Training,2022-06-27,2022-07-04,1269.5,Not Certified
T000112,E00048,Customer Service Excellence,Internal L&D,2023-12-29,2024-01-05,3137.52,Completed
T000113,E00048,Leadership Excellence,Dale Carnegie,2024-12-26,2025-01-02,856.11,Completed
T000114,E00049,Cloud Computing Fundamentals,AWS Training,2024-04-23,2024-04-25,2821.07,Not Certified
T000115,E00049,Workplace Safety & Compliance,Internal L&D,2025-03-17,2025-03-23,959.34,Completed
T000116,E00051,Cybersecurity Awareness,Udemy,2024-04-09,2024-04-12,984.86,Completed
T000117,E00051,Advanced Excel & Data Analysis,Coursera,2024-08-24,2024-08-30,550.62,In Progress
T000118,E00051,Project Management Professional,PMI,2025-05-04,2025-05-09,761.77,Not Certified
T000119,E00052,Sales Negotiation Skills,Miller Heiman,2025-05-07,2025-05-14,3249.06,Completed
T000120,E00053,Agile & Scrum Master,Scrum.org,2020-07-28,2020-07-31,420.17,Completed
T000121,E00055,Python for Data Analysis,Coursera,2024-09-10,2024-09-13,1705.2,Completed
T000122,E00055,Diversity & Inclusion Workshop,Internal L&D,2024-05-11,2024-05-16,2004.62,Completed
T000123,E00055,Customer Service Excellence,Internal L&D,2022-09-27,2022-10-06,2971.63,Completed
T000124,E00055,Power BI for Business,Microsoft Learn,2024-05-13,2024-05-20,1489.04,Completed
T000125,E00056,Customer Service Excellence,Internal L&D,2024-01-02,2024-01-06,3493.69,Not Certified
T000126,E00056,Workplace Safety & Compliance,Internal L&D,2024-04-25,2024-04-30,367.73,Not Certified
T000127,E00056,Cloud Computing Fundamentals,AWS Training,2025-06-16,2025-06-21,1105.88,Completed
T000128,E00056,Six Sigma Green Belt,ASQ,2025-01-01,2025-01-06,1863.91,Completed
T000129,E00057,Effective Communication,LinkedIn Learning,2024-11-05,2024-11-11,2495.82,In Progress
T000130,E00057,Effective Communication,LinkedIn Learning,2021-04-19,2021-04-25,3478.16,In Progress
T000131,E00057,Effective Communication,LinkedIn Learning,2021-01-19,2021-01-21,1972.07,Completed
T000132,E00057,Effective Communication,LinkedIn Learning,2024-06-06,2024-06-14,227.83,In Progress
T000133,E00057,Leadership Excellence,Dale Carnegie,2025-02-25,2025-03-03,1698.26,Completed
T000134,E00057,Cybersecurity Awareness,Udemy,2024-12-14,2024-12-18,2430.67,Completed
T000135,E00058,Effective Communication,LinkedIn Learning,2022-12-26,2023-01-05,425.54,Completed
T000136,E00058,Leadership Excellence,Dale Carnegie,2021-09-08,2021-09-17,2539.06,Completed
T000137,E00060,Cloud Computing Fundamentals,AWS Training,2025-03-05,2025-03-07,2485.02,Completed
T000138,E00060,Effective Communication,LinkedIn Learning,2023-10-09,2023-10-15,1687.27,Completed
T000139,E00060,Cloud Computing Fundamentals,AWS Training,2023-07-04,2023-07-10,3239.95,Completed
T000140,E00061,Python for Data Analysis,Coursera,2023-11-21,2023-11-25,1805.71,Completed
T000141,E00061,Six Sigma Green Belt,ASQ,2024-03-03,2024-03-13,868.7,Not Certified
T000142,E00061,Sales Negotiation Skills,Miller Heiman,2023-10-11,2023-10-18,1805.78,Not Certified
T000143,E00061,Advanced Excel & Data Analysis,Coursera,2023-07-06,2023-07-08,423.94,Completed
T000144,E00061,Cloud Computing Fundamentals,AWS Training,2025-01-13,2025-01-18,3028.7,In Progress
T000145,E00061,Cybersecurity Awareness,Udemy,2023-10-09,2023-10-12,673.92,In Progress
T000146,E00062,Python for Data Analysis,Coursera,2023-08-02,2023-08-11,2301.65,Completed
T000147,E00062,Project Management Professional,PMI,2023-02-02,2023-02-10,1189.09,Completed
T000148,E00063,Financial Modeling,Wall Street Prep,2024-01-27,2024-01-31,2389.39,Not Certified
T000149,E00063,Financial Modeling,Wall Street Prep,2023-07-30,2023-08-09,3138.59,Completed
T000150,E00063,Customer Service Excellence,Internal L&D,2025-06-12,2025-06-22,3165.18,Completed
T000151,E00064,Workplace Safety & Compliance,Internal L&D,2025-02-04,2025-02-08,2966.18,Completed
T000152,E00064,Workplace Safety & Compliance,Internal L&D,2023-06-01,2023-06-07,3028.45,Completed
T000153,E00064,Sales Negotiation Skills,Miller Heiman,2023-08-20,2023-08-30,2021.5,Completed
T000154,E00064,Project Management Professional,PMI,2023-09-25,2023-10-03,249.27,In Progress
T000155,E00064,Sales Negotiation Skills,Miller Heiman,2024-12-08,2024-12-18,2527.25,Completed
T000156,E00065,Diversity & Inclusion Workshop,Internal L&D,2022-03-09,2022-03-18,2674.87,Not Certified
T000157,E00065,Cloud Computing Fundamentals,AWS Training,2021-12-07,2021-12-16,1391.7,Not Certified
T000158,E00066,Diversity & Inclusion Workshop,Internal L&D,2025-06-19,2025-06-23,1257.98,Completed
T000159,E00066,Customer Service Excellence,Internal L&D,2025-04-08,2025-04-14,960.98,Completed
T000160,E00068,Project Management Professional,PMI,2023-05-29,2023-06-04,2409.27,In Progress
T000161,E00068,Python for Data Analysis,Coursera,2021-12-25,2022-01-04,3240.98,Completed
T000162,E00068,Cybersecurity Awareness,Udemy,2021-10-30,2021-11-07,332.54,Completed
T000163,E00068,Customer Service Excellence,Internal L&D,2024-11-07,2024-11-15,2497.12,Not Certified
T000164,E00068,Financial Modeling,Wall Street Prep,2021-10-17,2021-10-23,2197.9,Completed
T000165,E00068,Cloud Computing Fundamentals,AWS Training,2025-03-24,2025-03-31,2839.94,Not Certified
T000166,E00069,Financial Modeling,Wall Street Prep,2025-03-11,2025-03-17,2670.3,Completed
T000167,E00070,Leadership Excellence,Dale Carnegie,2025-01-19,2025-01-22,2337.91,In Progress
T000168,E00070,Power BI for Business,Microsoft Learn,2021-03-15,2021-03-22,3063.95,Completed
T000169,E00070,Project Management Professional,PMI,2022-03-09,2022-03-11,740.25,Not Certified
T000170,E00070,Project Management Professional,PMI,2023-04-05,2023-04-10,936.16,Completed
T000171,E00070,Financial Modeling,Wall Street Prep,2024-03-05,2024-03-10,1037.09,Completed
T000172,E00071,Financial Modeling,Wall Street Prep,2025-02-27,2025-03-04,335.3,Completed
T000173,E00071,Project Management Professional,PMI,2024-07-22,2024-07-28,1399.78,Completed
T000174,E00071,Financial Modeling,Wall Street Prep,2022-10-05,2022-10-13,870.31,Completed
T000175,E00072,Python for Data Analysis,Coursera,2023-03-18,2023-03-20,1271.75,Not Certified
T000176,E00072,Project Management Professional,PMI,2024-08-16,2024-08-19,267.18,Completed
T000177,E00072,Financial Modeling,Wall Street Prep,2023-04-11,2023-04-14,1705.39,Completed
T000178,E00072,Customer Service Excellence,Internal L&D,2024-04-17,2024-04-27,2882.82,Completed
T000179,E00072,Six Sigma Green Belt,ASQ,2024-09-17,2024-09-24,2656.33,Completed
T000180,E00073,Financial Modeling,Wall Street Prep,2025-06-03,2025-06-10,972.04,Completed
T000181,E00074,Cybersecurity Awareness,Udemy,2023-06-27,2023-06-29,2615.28,Completed
T000182,E00074,Effective Communication,LinkedIn Learning,2023-01-12,2023-01-20,2382.87,Completed
T000183,E00074,Customer Service Excellence,Internal L&D,2023-05-28,2023-06-01,1875.71,Completed
T000184,E00075,Diversity & Inclusion Workshop,Internal L&D,2024-10-06,2024-10-16,1710.36,Not Certified
T000185,E00075,Customer Service Excellence,Internal L&D,2024-04-24,2024-05-02,2814.73,Completed
T000186,E00076,Cybersecurity Awareness,Udemy,2022-05-09,2022-05-11,1240.83,In Progress
T000187,E00076,Effective Communication,LinkedIn Learning,2022-09-11,2022-09-14,1831.31,Completed
T000188,E00079,Python for Data Analysis,Coursera,2022-09-29,2022-10-03,224.01,Completed
T000189,E00079,Python for Data Analysis,Coursera,2022-07-10,2022-07-19,595.38,In Progress
T000190,E00079,Diversity & Inclusion Workshop,Internal L&D,2023-08-25,2023-08-31,1200.46,Completed
T000191,E00079,Power BI for Business,Microsoft Learn,2023-04-29,2023-05-04,2126.0,Completed
T000192,E00079,Advanced Excel & Data Analysis,Coursera,2021-02-13,2021-02-19,788.98,Completed
T000193,E00081,Workplace Safety & Compliance,Internal L&D,2020-12-11,2020-12-20,1400.39,Completed
T000194,E00083,Agile & Scrum Master,Scrum.org,2025-03-25,2025-03-28,280.25,Not Certified
T000195,E00083,Python for Data Analysis,Coursera,2023-06-05,2023-06-12,2320.82,In Progress
T000196,E00083,Cybersecurity Awareness,Udemy,2024-12-25,2024-12-28,448.41,Not Certified
T000197,E00083,Six Sigma Green Belt,ASQ,2023-11-04,2023-11-11,2200.16,Not Certified
T000198,E00084,Power BI for Business,Microsoft Learn,2021-03-01,2021-03-08,3129.17,Completed
T000199,E00085,Cloud Computing Fundamentals,AWS Training,2021-06-04,2021-06-09,2508.28,Completed
T000200,E00085,Agile & Scrum Master,Scrum.org,2022-07-05,2022-07-08,1993.82,Completed
T000201,E00085,Sales Negotiation Skills,Miller Heiman,2025-02-12,2025-02-22,470.48,Not Certified
T000202,E00085,Sales Negotiation Skills,Miller Heiman,2022-02-03,2022-02-05,2061.1,In Progress
T000203,E00085,Cybersecurity Awareness,Udemy,2021-04-18,2021-04-24,1444.47,Not Certified
T000204,E00085,Customer Service Excellence,Internal L&D,2022-07-28,2022-08-01,1494.21,Completed
T000205,E00086,Advanced Excel & Data Analysis,Coursera,2024-10-27,2024-10-29,764.29,Completed
T000206,E00086,Leadership Excellence,Dale Carnegie,2025-05-25,2025-05-28,3000.58,In Progress
T000207,E00086,Python for Data Analysis,Coursera,2023-10-17,2023-10-24,1983.69,Completed
T000208,E00087,Cybersecurity Awareness,Udemy,2025-02-23,2025-02-25,374.23,Not Certified
T000209,E00088,Advanced Excel & Data Analysis,Coursera,2023-07-26,2023-07-31,3434.79,Completed
T000210,E00088,Effective Communication,LinkedIn Learning,2024-04-11,2024-04-20,3438.5,Completed
T000211,E00088,Financial Modeling,Wall Street Prep,2024-04-07,2024-04-09,2609.96,Completed
T000212,E00089,Agile & Scrum Master,Scrum.org,2023-09-19,2023-09-26,1617.39,In Progress
T000213,E00089,Python for Data Analysis,Coursera,2022-03-13,2022-03-18,845.57,Completed
T000214,E00089,Cybersecurity Awareness,Udemy,2020-05-13,2020-05-16,3032.08,Completed
T000215,E00089,Advanced Excel & Data Analysis,Coursera,2020-01-25,2020-02-02,2890.85,Completed
T000216,E00089,Leadership Excellence,Dale Carnegie,2023-02-12,2023-02-14,2622.86,In Progress
T000217,E00089,Agile & Scrum Master,Scrum.org,2020-05-21,2020-05-28,879.4,Completed
T000218,E00090,Six Sigma Green Belt,ASQ,2024-11-25,2024-12-03,448.91,Completed
T000219,E00091,Workplace Safety & Compliance,Internal L&D,2024-08-02,2024-08-09,3364.23,Completed
T000220,E00092,Effective Communication,LinkedIn Learning,2024-04-09,2024-04-14,595.89,In Progress
T000221,E00093,Power BI for Business,Microsoft Learn,2025-05-04,2025-05-14,1490.76,Completed
T000222,E00094,Project Management Professional,PMI,2021-09-25,2021-10-04,443.94,Completed
T000223,E00094,Sales Negotiation Skills,Miller Heiman,2021-05-05,2021-05-10,1966.24,Completed
T000224,E00094,Diversity & Inclusion Workshop,Internal L&D,2022-02-23,2022-03-02,2039.31,Completed
T000225,E00094,Leadership Excellence,Dale Carnegie,2021-07-11,2021-07-20,2405.1,Not Certified
T000226,E00094,Sales Negotiation Skills,Miller Heiman,2023-02-24,2023-03-06,3230.67,Completed
T000227,E00094,Power BI for Business,Microsoft Learn,2020-03-02,2020-03-07,1231.58,Completed
T000228,E00095,Leadership Excellence,Dale Carnegie,2023-09-07,2023-09-11,783.63,Completed
T000229,E00095,Cybersecurity Awareness,Udemy,2023-11-12,2023-11-18,1340.55,Completed
T000230,E00095,Financial Modeling,Wall Street Prep,2025-05-26,2025-05-29,901.69,Completed
T000231,E00095,Advanced Excel & Data Analysis,Coursera,2025-02-03,2025-02-05,228.51,In Progress
T000232,E00096,Cybersecurity Awareness,Udemy,2025-06-24,2025-07-01,3273.78,Completed
T000233,E00096,Cybersecurity Awareness,Udemy,2025-01-18,2025-01-27,1863.2,Completed
T000234,E00097,Leadership Excellence,Dale Carnegie,2024-09-20,2024-09-28,1154.85,Completed
T000235,E00098,Six Sigma Green Belt,ASQ,2024-03-03,2024-03-08,1183.9,Not Certified
T000236,E00098,Project Management Professional,PMI,2024-01-26,2024-02-04,356.62,Completed
T000237,E00098,Power BI for Business,Microsoft Learn,2024-09-24,2024-10-04,2954.48,Completed
T000238,E00098,Workplace Safety & Compliance,Internal L&D,2023-12-01,2023-12-05,710.05,Completed
T000239,E00098,Agile & Scrum Master,Scrum.org,2023-08-24,2023-08-28,2127.26,Completed
T000240,E00099,Power BI for Business,Microsoft Learn,2024-12-02,2024-12-08,1894.09,Completed
T000241,E00099,Sales Negotiation Skills,Miller Heiman,2024-11-09,2024-11-17,556.82,In Progress
T000242,E00099,Project Management Professional,PMI,2025-05-29,2025-06-04,1039.04,Completed
T000243,E00099,Sales Negotiation Skills,Miller Heiman,2025-01-15,2025-01-17,2439.14,Completed
T000244,E00101,Power BI for Business,Microsoft Learn,2025-06-20,2025-06-24,3302.67,Not Certified
T000245,E00104,Python for Data Analysis,Coursera,2021-02-10,2021-02-12,2079.89,Not Certified
T000246,E00105,Advanced Excel & Data Analysis,Coursera,2024-01-19,2024-01-28,1717.07,Completed
T000247,E00105,Advanced Excel & Data Analysis,Coursera,2024-05-25,2024-05-27,2849.93,Completed
T000248,E00105,Python for Data Analysis,Coursera,2024-11-29,2024-12-05,619.01,Not Certified
T000249,E00105,Diversity & Inclusion Workshop,Internal L&D,2024-06-19,2024-06-22,3120.68,Completed
T000250,E00105,Effective Communication,LinkedIn Learning,2024-03-03,2024-03-09,953.45,In Progress
T000251,E00105,Diversity & Inclusion Workshop,Internal L&D,2023-06-23,2023-06-25,3419.28,Completed
T000252,E00106,Advanced Excel & Data Analysis,Coursera,2025-05-13,2025-05-19,1463.78,Completed
T000253,E00106,Advanced Excel & Data Analysis,Coursera,2025-03-26,2025-03-28,563.56,Not Certified
T000254,E00106,Project Management Professional,PMI,2023-10-14,2023-10-18,3284.96,Not Certified
T000255,E00106,Leadership Excellence,Dale Carnegie,2025-03-10,2025-03-15,2466.47,Completed
T000256,E00106,Sales Negotiation Skills,Miller Heiman,2023-07-24,2023-08-01,316.8,Completed
T000257,E00107,Effective Communication,LinkedIn Learning,2024-09-02,2024-09-11,2726.21,Completed
T000258,E00107,Cybersecurity Awareness,Udemy,2024-06-18,2024-06-24,187.38,Completed
T000259,E00107,Advanced Excel & Data Analysis,Coursera,2022-11-04,2022-11-11,386.97,Completed
T000260,E00107,Diversity & Inclusion Workshop,Internal L&D,2023-07-11,2023-07-15,2414.91,Completed
T000261,E00108,Financial Modeling,Wall Street Prep,2025-03-14,2025-03-17,1991.49,Completed
T000262,E00108,Customer Service Excellence,Internal L&D,2025-04-13,2025-04-17,3227.33,Completed
T000263,E00109,Workplace Safety & Compliance,Internal L&D,2024-04-25,2024-04-30,801.9,Completed
T000264,E00109,Sales Negotiation Skills,Miller Heiman,2022-09-30,2022-10-02,1226.61,Completed
T000265,E00109,Cloud Computing Fundamentals,AWS Training,2023-04-12,2023-04-16,2641.48,Not Certified
T000266,E00109,Advanced Excel & Data Analysis,Coursera,2025-06-16,2025-06-21,3471.33,Not Certified
T000267,E00111,Leadership Excellence,Dale Carnegie,2025-03-26,2025-03-28,2796.18,Not Certified
T000268,E00114,Effective Communication,LinkedIn Learning,2023-02-12,2023-02-14,2853.89,Completed
T000269,E00115,Effective Communication,LinkedIn Learning,2023-09-25,2023-10-02,3296.06,Completed
T000270,E00115,Cybersecurity Awareness,Udemy,2024-08-14,2024-08-17,638.65,In Progress
T000271,E00115,Advanced Excel & Data Analysis,Coursera,2025-01-12,2025-01-16,2573.6,Completed
T000272,E00117,Financial Modeling,Wall Street Prep,2023-11-10,2023-11-19,1738.74,Completed
T000273,E00117,Leadership Excellence,Dale Carnegie,2024-01-29,2024-02-02,2435.3,Not Certified
T000274,E00119,Customer Service Excellence,Internal L&D,2024-12-23,2024-12-28,1943.41,Completed
T000275,E00119,Power BI for Business,Microsoft Learn,2023-02-13,2023-02-15,2419.54,Completed
T000276,E00119,Python for Data Analysis,Coursera,2023-06-04,2023-06-11,1836.35,Completed
T000277,E00120,Advanced Excel & Data Analysis,Coursera,2024-06-01,2024-06-04,2193.81,Completed
T000278,E00120,Financial Modeling,Wall Street Prep,2022-07-29,2022-08-01,2277.53,Not Certified
T000279,E00120,Diversity & Inclusion Workshop,Internal L&D,2023-12-03,2023-12-11,1990.7,Completed
T000280,E00120,Six Sigma Green Belt,ASQ,2024-12-13,2024-12-23,3304.93,Completed
T000281,E00120,Agile & Scrum Master,Scrum.org,2024-11-18,2024-11-20,1894.56,In Progress
T000282,E00121,Workplace Safety & Compliance,Internal L&D,2024-08-25,2024-09-04,3206.41,Completed
T000283,E00121,Effective Communication,LinkedIn Learning,2023-02-10,2023-02-16,287.42,Completed
