Performance_ID,Employee_ID,Review_Date,Reviewer_ID,KPI_Score,Productivity_Score,Attendance_Score,Teamwork_Score,Overall_Rating,Promotion_Recommendation
PF000026,E00009,2021-06-28,E00009,75.6,46.2,95.5,53.3,Average,No
PF000027,E00009,2021-12-27,E00009,79.9,75.4,84.5,89.7,Good,No
PF000028,E00009,2022-06-27,E00009,61.6,75.3,86.4,91.6,Good,No
PF000029,E00009,2022-12-26,E00009,100.0,91.3,75.3,100.0,Excellent,No
PF000030,E00009,2023-06-26,E00009,98.5,81.6,73.3,76.5,Good,Yes
PF000031,E00009,2023-12-25,E00009,70.4,97.2,84.9,71.3,Good,No
PF000032,E00009,2024-06-24,E00009,54.0,64.4,72.0,76.5,Average,No
PF000033,E00009,2024-12-23,E00009,68.0,85.0,77.7,69.0,Good,Yes
PF000034,E00009,2025-06-23,E00009,60.2,56.4,76.8,65.2,Average,No
PF000035,E00011,2024-11-09,E00011,94.0,81.3,82.4,53.7,Good,Yes
PF000036,E00011,2025-05-10,E00011,76.1,100.0,87.7,79.3,Good,No
PF000037,E00013,2023-05-25,E00010,73.5,67.3,88.3,71.1,Good,No
PF000038,E00013,2023-11-23,E00010,82.7,99.2,86.0,84.4,Good,Yes
PF000039,E00013,2024-05-23,E00010,86.9,100.0,72.6,79.2,Good,Yes
PF000040,E00013,2024-11-21,E00010,87.4,84.1,96.1,79.4,Good,No
PF000041,E00013,2025-05-22,E00010,67.9,80.9,80.3,75.6,Good,No
PF000042,E00014,2022-02-23,E00005,77.2,66.2,89.3,90.9,Good,Yes
PF000043,E00014,2022-08-24,E00005,76.4,96.8,74.4,92.8,Good,Yes
PF000044,E00015,2024-04-25,E00015,76.9,70.5,84.9,70.4,Good,No
PF000045,E00015,2024-10-24,E00015,78.3,57.4,72.2,84.8,Good,No
PF000046,E00015,2025-04-24,E00015,69.3,66.9,95.4,88.0,Good,No
PF000047,E00016,2023-09-14,E00016,90.4,87.9,91.7,68.8,Good,No
PF000048,E00016,2024-03-14,E00016,73.5,66.0,73.3,82.6,Good,No
PF000049,E00016,2024-09-12,E00016,100.0,59.5,67.2,81.7,Good,No
PF000050,E00016,2025-03-13,E00016,63.6,60.5,62.4,84.5,Average,No
PF000051,E00017,2023-08-01,E00017,67.8,61.9,70.4,47.6,Average,No
PF000052,E00017,2024-01-30,E00017,78.2,83.5,67.8,81.1,Good,No
PF000053,E00017,2024-07-30,E00017,88.0,57.5,98.4,68.5,Good,No
PF000054,E00017,2025-01-28,E00017,72.1,77.1,79.9,85.8,Good,No
PF000055,E00018,2022-12-08,E00018,90.1,72.6,84.9,78.7,Good,No
PF000056,E00018,2023-06-08,E00018,65.4,91.1,74.2,62.8,Good,Yes
PF000057,E00018,2023-12-07,E00018,93.7,78.8,78.8,83.3,Good,No
PF000058,E00018,2024-06-06,E00018,79.1,79.0,87.3,100.0,Good,Yes
PF000059,E00018,2024-12-05,E00018,80.6,85.6,71.3,68.9,Good,No
PF000060,E00018,2025-06-05,E00018,81.2,77.3,67.4,95.2,Good,No
PF000061,E00019,2022-06-06,E00019,71.7,62.6,84.8,75.3,Good,No
PF000062,E00019,2022-12-05,E00019,74.8,66.6,84.4,90.7,Good,No
PF000063,E00019,2023-06-05,E00019,91.4,93.8,83.2,63.8,Good,Yes
PF000064,E00019,2023-12-04,E00019,75.9,87.0,80.4,71.6,Good,No
PF000065,E00019,2024-06-03,E00019,78.7,71.7,79.3,65.9,Good,Yes
PF000066,E00019,2024-12-02,E00019,98.7,88.0,71.8,78.5,Good,No
PF000067,E00019,2025-06-02,E00019,73.6,100.0,99.5,63.5,Good,No
PF000068,E00020,2024-03-18,E00020,71.1,71.2,75.1,72.2,Good,No
PF000069,E00020,2024-09-16,E00020,73.2,73.2,79.3,83.8,Good,Yes
PF000070,E00021,2020-07-28,E00005,84.4,71.1,87.0,70.9,Good,Yes
PF000071,E00021,2021-01-26,E00005,54.7,69.0,76.9,67.9,Average,No
PF000072,E00021,2021-07-27,E00005,88.4,67.7,80.3,82.4,Good,No
PF000073,E00021,2022-01-25,E00005,60.5,81.1,78.1,82.5,Good,No
PF000074,E00021,2022-07-26,E00005,80.2,67.2,83.2,70.7,Good,No
PF000075,E00021,2023-01-24,E00005,85.0,93.9,71.5,90.5,Good,No
PF000076,E00021,2023-07-25,E00005,60.5,79.4,87.4,68.1,Good,No
PF000077,E00021,2024-01-23,E00005,65.6,100.0,64.5,78.1,Good,Yes
PF000078,E00021,2024-07-23,E00005,85.5,70.4,93.1,81.8,Good,Yes
PF000079,E00021,2025-01-21,E00005,71.2,81.2,59.3,81.8,Good,Yes
PF000080,E00022,2022-03-26,E00004,72.8,84.0,70.0,74.6,Good,No
PF000081,E00022,2022-09-24,E00004,82.9,73.5,59.8,82.5,Good,No
PF000082,E00022,2023-03-25,E00004,88.4,61.5,87.6,77.6,Good,No
PF000083,E00022,2023-09-23,E00004,77.0,59.2,86.4,96.9,Good,Yes
PF000084,E00022,2024-03-23,E00004,68.7,85.4,76.6,69.7,Good,No
PF000085,E00022,2024-09-21,E00004,62.5,59.0,66.4,78.2,Average,No
PF000086,E00022,2025-03-22,E00004,86.1,97.0,71.4,80.2,Good,No
PF000087,E00023,2021-03-14,E00003,66.4,58.2,79.1,61.7,Average,No
PF000088,E00023,2021-09-12,E00003,74.1,53.7,69.7,82.6,Good,No
PF000089,E00023,2022-03-13,E00003,77.5,85.4,76.6,67.3,Good,No
PF000090,E00023,2022-09-11,E00003,54.0,90.9,68.7,98.8,Good,Yes
PF000091,E00023,2023-03-12,E00003,75.0,94.6,86.8,89.4,Good,No
PF000092,E00023,2023-09-10,E00003,84.9,72.0,100.0,90.2,Good,No
PF000093,E00023,2024-03-10,E00003,83.9,78.6,83.0,80.6,Good,Yes
PF000094,E00023,2024-09-08,E00003,71.0,82.3,68.0,77.8,Good,No
PF000095,E00023,2025-03-09,E00003,78.1,65.8,71.5,84.1,Good,Yes
PF000096,E00024,2021-12-24,E00024,78.0,80.2,76.0,66.6,Good,Yes
PF000097,E00024,2022-06-24,E00024,72.0,77.3,100.0,88.3,Good,No
PF000098,E00024,2022-12-23,E00024,83.4,72.6,92.3,85.1,Good,Yes
PF000099,E00024,2023-06-23,E00024,64.5,99.2,79.9,69.5,Good,Yes
PF000100,E00024,2023-12-22,E00024,65.6,55.1,69.0,59.2,Average,No
PF000101,E00024,2024-06-21,E00024,78.2,79.6,65.1,71.1,Good,No
PF000102,E00024,2024-12-20,E00024,71.3,58.5,92.2,74.1,Good,No
PF000103,E00024,2025-06-20,E00024,52.4,86.9,86.8,68.8,Good,Yes
PF000104,E00025,2022-02-13,E00018,73.5,63.9,92.7,56.4,Good,Yes
PF000105,E00026,2020-08-13,E00026,60.5,76.9,74.1,81.0,Good,Yes
PF000106,E00026,2021-02-11,E00026,91.9,60.7,78.0,80.0,Good,No
PF000107,E00026,2021-08-12,E00026,71.4,79.4,64.0,80.6,Good,Yes
PF000108,E00026,2022-02-10,E00026,70.1,79.2,77.9,78.6,Good,No
PF000109,E00026,2022-08-11,E00026,82.3,69.0,71.1,71.6,Good,No
PF000110,E00026,2023-02-09,E00026,77.8,70.9,99.9,69.7,Good,No
PF000111,E00026,2023-08-10,E00026,68.9,61.4,69.9,80.1,Good,Yes
PF000112,E00026,2024-02-08,E00026,78.4,73.7,73.2,72.5,Good,Yes
PF000113,E00026,2024-08-08,E00026,88.7,71.2,84.7,100.0,Good,No
PF000114,E00026,2025-02-06,E00026,98.0,55.9,77.4,78.5,Good,Yes
PF000115,E00027,2024-07-21,E00027,65.4,64.2,94.1,76.9,Good,Yes
PF000116,E00027,2025-01-19,E00027,68.3,58.7,77.4,57.0,Average,No
PF000117,E00028,2025-04-10,E00025,77.8,84.8,84.1,71.3,Good,No
PF000118,E00029,2024-10-12,E00029,73.0,75.9,85.6,66.7,Good,No
PF000119,E00032,2022-09-19,E00026,60.7,47.1,89.7,73.1,Average,No
PF000120,E00034,2023-01-07,E00034,48.8,58.0,94.5,55.3,Average,No
PF000121,E00034,2023-07-08,E00034,100.0,54.1,90.5,71.1,Good,No
PF000122,E00034,2024-01-06,E00034,81.6,82.8,79.7,53.8,Good,Yes
PF000123,E00034,2024-07-06,E00034,66.0,69.8,75.3,57.3,Average,No
PF000124,E00034,2025-01-04,E00034,97.3,70.1,70.7,84.2,Good,No
PF000125,E00036,2024-03-10,E00003,82.0,59.9,68.5,78.6,Good,No
PF000126,E00036,2024-09-08,E00003,70.2,76.3,77.2,77.6,Good,No
PF000127,E00036,2025-03-09,E00003,69.0,72.8,80.1,65.4,Good,No
PF000128,E00037,2024-10-14,E00015,87.2,95.8,87.1,85.3,Good,No
PF000129,E00038,2022-02-02,E00038,73.6,86.1,93.0,72.0,Good,No
PF000130,E00041,2022-06-10,E00041,73.7,84.9,71.3,70.9,Good,No
PF000131,E00041,2022-12-09,E00041,78.4,91.2,94.2,67.0,Good,No
PF000132,E00041,2023-06-09,E00041,76.2,71.5,95.0,77.3,Good,Yes
PF000133,E00041,2023-12-08,E00041,88.6,71.3,83.7,93.2,Good,No
PF000134,E00041,2024-06-07,E00041,87.3,75.0,62.6,72.1,Good,Yes
PF000135,E00041,2024-12-06,E00041,65.8,72.7,77.3,76.7,Good,No
PF000136,E00041,2025-06-06,E00041,75.0,80.8,87.6,76.4,Good,No
PF000137,E00042,2021-10-10,E00015,59.5,82.2,97.8,76.6,Good,No
PF000138,E00042,2022-04-10,E00015,72.8,79.2,90.6,53.7,Good,Yes
PF000139,E00042,2022-10-09,E00015,63.0,59.2,78.3,52.7,Average,No
PF000140,E00043,2021-04-30,E00035,95.4,61.7,68.8,77.1,Good,No
PF000141,E00043,2021-10-29,E00035,64.6,93.4,92.3,68.0,Good,No
PF000142,E00043,2022-04-29,E00035,78.3,100.0,82.8,87.0,Good,No
PF000143,E00044,2025-01-08,E00044,54.6,67.0,75.7,73.3,Average,No
PF000144,E00045,2024-10-07,E00015,96.1,88.6,81.2,100.0,Excellent,No
PF000145,E00045,2025-04-07,E00015,91.4,72.2,79.5,76.2,Good,No
PF000146,E00048,2022-08-02,E00048,71.6,73.8,74.1,74.6,Good,No
PF000147,E00048,2023-01-31,E00048,56.3,52.1,95.0,74.9,Average,No
PF000148,E00048,2023-08-01,E00048,83.5,68.6,68.8,75.5,Good,Yes
PF000149,E00048,2024-01-30,E00048,96.4,95.3,83.7,71.9,Good,Yes
PF000150,E00048,2024-07-30,E00048,81.6,76.4,74.8,69.2,Good,Yes
PF000151,E00048,2025-01-28,E00048,73.8,83.8,92.1,76.3,Good,No
PF000152,E00049,2024-06-09,E00049,76.6,81.1,77.6,64.2,Good,No
PF000153,E00049,2024-12-08,E00049,96.2,55.3,82.0,82.9,Good,Yes
PF000154,E00049,2025-06-08,E00049,78.8,70.4,87.4,70.0,Good,No
PF000155,E00051,2024-04-23,E00016,78.7,82.7,70.3,83.6,Good,Yes
PF000156,E00051,2024-10-22,E00016,74.1,96.1,84.3,98.6,Good,No
PF000157,E00051,2025-04-22,E00016,63.0,81.0,66.0,86.6,Good,No
PF000158,E00052,2024-05-28,E00052,62.7,90.8,76.6,86.8,Good,Yes
PF000159,E00052,2024-11-26,E00052,61.2,68.2,75.8,73.3,Average,No
PF000160,E00052,2025-05-27,E00052,56.4,88.2,89.6,78.1,Good,No
PF000161,E00053,2020-09-20,E00040,86.3,87.9,72.2,66.5,Good,Yes
PF000162,E00055,2023-03-23,E00016,90.3,64.1,86.9,86.2,Good,Yes
PF000163,E00055,2023-09-21,E00016,72.6,95.9,75.3,62.1,Good,No
PF000164,E00055,2024-03-21,E00016,68.8,92.0,85.8,97.4,Good,Yes
PF000165,E00055,2024-09-19,E00016,62.2,89.6,68.7,91.0,Good,Yes
PF000166,E00055,2025-03-20,E00016,74.6,62.3,72.2,76.1,Good,Yes
PF000167,E00056,2024-05-09,E00056,78.0,86.2,56.1,61.5,Good,No
PF000168,E00056,2024-11-07,E00056,81.3,97.4,83.2,97.5,Good,Yes
PF000169,E00056,2025-05-08,E00056,81.3,83.8,92.4,82.1,Good,Yes
PF000170,E00057,2020-12-11,E00057,69.3,49.6,98.6,65.4,Good,No
PF000171,E00057,2021-06-11,E00057,69.3,68.8,96.4,79.8,Good,Yes
PF000172,E00057,2021-12-10,E00057,84.4,78.4,100.0,72.2,Good,No
PF000173,E00057,2022-06-10,E00057,77.4,99.6,86.8,69.4,Good,Yes
PF000174,E00057,2022-12-09,E00057,91.9,75.6,78.1,88.2,Good,No
PF000175,E00057,2023-06-09,E00057,55.7,83.1,87.9,82.3,Good,No
PF000176,E00057,2023-12-08,E00057,59.3,73.0,89.6,56.8,Average,No
PF000177,E00057,2024-06-07,E00057,78.1,78.1,92.3,74.5,Good,No
PF000178,E00057,2024-12-06,E00057,67.0,76.3,79.4,96.9,Good,Yes
PF000179,E00057,2025-06-06,E00057,83.0,80.6,74.1,63.5,Good,No
PF000180,E00058,2021-03-06,E00017,67.1,53.3,73.6,91.0,Good,Yes
PF000181,E00058,2021-09-04,E00017,79.8,40.7,70.4,80.0,Average,No
PF000182,E00058,2022-03-05,E00017,57.1,86.7,70.0,66.5,Good,No
PF000183,E00058,2022-09-03,E00017,92.0,53.5,80.3,62.2,Good,Yes
PF000184,E00058,2023-03-04,E00017,66.3,93.5,85.8,100.0,Good,No
PF000185,E00059,2025-03-17,E00059,69.4,81.0,86.5,62.7,Good,No
PF000186,E00060,2023-11-06,E00060,55.4,87.6,88.2,89.3,Good,No
PF000187,E00060,2024-05-06,E00060,72.7,71.0,72.4,69.7,Good,No
PF000188,E00060,2024-11-04,E00060,100.0,82.9,74.0,92.2,Good,Yes
PF000189,E00060,2025-05-05,E00060,67.1,62.4,86.3,82.5,Good,Yes
PF000190,E00061,2023-11-19,E00061,74.3,89.9,75.4,64.9,Good,No
PF000191,E00061,2024-05-19,E00061,96.1,88.6,67.4,94.1,Good,Yes
PF000192,E00061,2024-11-17,E00061,93.6,72.5,58.8,87.8,Good,No
PF000193,E00061,2025-05-18,E00061,75.8,100.0,62.9,74.8,Good,No
PF000194,E00062,2023-01-04,E00002,71.6,81.1,87.5,63.1,Good,No
PF000195,E00062,2023-07-05,E00002,89.5,76.8,86.3,79.8,Good,Yes
PF000196,E00063,2023-05-16,E00063,55.1,84.8,100.0,89.4,Good,No
PF000197,E00063,2023-11-14,E00063,85.0,62.8,90.6,76.7,Good,No
PF000198,E00063,2024-05-14,E00063,75.8,73.4,67.7,61.8,Average,No
PF000199,E00063,2024-11-12,E00063,88.7,70.1,82.1,82.3,Good,No
PF000200,E00063,2025-05-13,E00063,78.7,53.6,77.7,79.1,Good,No
PF000201,E00064,2022-09-06,E00064,58.2,74.1,86.7,63.6,Good,No
PF000202,E00064,2023-03-07,E00064,57.8,78.5,70.2,84.9,Good,Yes
PF000203,E00064,2023-09-05,E00064,73.6,84.3,48.0,87.9,Good,No
PF000204,E00064,2024-03-05,E00064,56.7,39.1,69.4,65.3,Average,No
PF000205,E00064,2024-09-03,E00064,67.0,83.6,90.2,80.9,Good,No
PF000206,E00064,2025-03-04,E00064,52.4,57.1,86.1,69.4,Average,No
PF000207,E00065,2021-04-12,E00065,68.7,83.1,54.2,70.4,Average,No
PF000208,E00065,2021-10-11,E00065,73.7,78.6,66.0,62.5,Good,No
PF000209,E00065,2022-04-11,E00065,79.7,62.3,71.6,83.4,Good,No
PF000210,E00065,2022-10-10,E00065,61.5,62.2,75.2,70.0,Average,No
PF000211,E00065,2023-04-10,E00065,85.2,78.5,66.7,79.8,Good,Yes
PF000212,E00065,2023-10-09,E00065,66.5,31.7,89.5,61.3,Average,No
PF000213,E00066,2023-10-08,E00026,86.9,62.9,94.8,80.6,Good,No
PF000214,E00066,2024-04-07,E00026,87.8,76.6,72.4,57.6,Good,No
PF000215,E00066,2024-10-06,E00026,75.5,83.2,76.8,53.2,Good,No
PF000216,E00066,2025-04-06,E00026,59.1,70.7,67.1,85.4,Good,No
PF000217,E00068,2021-10-28,E00027,85.2,79.9,92.1,76.7,Good,No
PF000218,E00068,2022-04-28,E00027,72.1,84.8,86.5,95.3,Good,Yes
PF000219,E00068,2022-10-27,E00027,61.2,74.1,96.5,75.8,Good,No
PF000220,E00068,2023-04-27,E00027,73.8,82.4,95.3,63.3,Good,No
PF000221,E00068,2023-10-26,E00027,99.0,79.5,88.6,86.2,Good,No
PF000222,E00068,2024-04-25,E00027,63.3,82.7,88.8,62.0,Good,Yes
PF000223,E00068,2024-10-24,E00027,55.3,82.5,84.7,74.3,Good,Yes
PF000224,E00068,2025-04-24,E00027,80.1,84.9,72.1,89.5,Good,No
PF000225,E00070,2021-04-27,E00038,73.0,74.1,87.7,91.9,Good,No
PF000226,E00070,2021-10-26,E00038,65.8,82.9,70.6,76.3,Good,No
PF000227,E00070,2022-04-26,E00038,78.3,71.6,73.0,77.9,Good,No
PF000228,E00070,2022-10-25,E00038,95.1,82.8,79.3,61.6,Good,No
PF000229,E00070,2023-04-25,E00038,78.0,74.2,76.4,74.3,Good,No
PF000230,E00070,2023-10-24,E00038,75.8,48.5,94.5,76.1,Good,No
PF000231,E00070,2024-04-23,E00038,73.9,73.9,87.3,78.2,Good,No
PF000232,E00070,2024-10-22,E00038,86.6,77.7,63.6,67.4,Good,Yes
PF000233,E00070,2025-04-22,E00038,65.6,66.4,56.6,78.1,Average,No
PF000234,E00071,2022-12-26,E00045,66.8,85.3,75.7,62.5,Good,No
PF000235,E00071,2023-06-26,E00045,68.1,62.0,82.4,68.3,Good,No
PF000236,E00071,2023-12-25,E00045,86.8,90.8,59.2,66.4,Good,No
PF000237,E00071,2024-06-24,E00045,54.2,70.2,73.5,80.1,Average,No
PF000238,E00071,2024-12-23,E00045,74.3,68.0,94.0,84.9,Good,No
PF000239,E00071,2025-06-23,E00045,46.8,71.7,82.8,82.4,Good,No
PF000240,E00072,2023-08-15,E00009,100.0,93.0,69.9,86.6,Good,No
PF000241,E00072,2024-02-13,E00009,86.4,76.0,70.8,76.5,Good,No
PF000242,E00072,2024-08-13,E00009,87.1,89.5,64.6,68.5,Good,No
PF000243,E00072,2025-02-11,E00009,61.0,91.7,89.9,89.7,Good,Yes
PF000244,E00074,2023-02-04,E00074,77.0,63.4,84.5,63.2,Good,No
PF000245,E00074,2023-08-05,E00074,73.4,66.1,86.6,78.5,Good,No
PF000246,E00074,2024-02-03,E00074,75.6,100.0,55.8,69.5,Good,Yes
PF000247,E00074,2024-08-03,E00074,73.0,85.6,81.8,73.3,Good,No
PF000248,E00075,2024-09-23,E00063,75.2,61.1,83.5,66.5,Good,Yes
PF000249,E00075,2025-03-24,E00063,58.4,85.6,81.9,72.2,Good,No
PF000250,E00076,2022-10-04,E00045,65.3,72.9,75.6,70.7,Good,No
PF000251,E00076,2023-04-04,E00045,62.5,59.6,93.6,87.8,Good,No
PF000252,E00077,2021-01-19,E00077,71.9,74.1,88.1,70.3,Good,Yes
PF000253,E00077,2021-07-20,E00077,59.2,80.5,84.9,75.2,Good,No
PF000254,E00079,2021-01-24,E00017,100.0,80.9,80.4,63.5,Good,No
PF000255,E00079,2021-07-25,E00017,79.1,67.5,69.9,69.2,Good,No
PF000256,E00079,2022-01-23,E00017,69.8,59.7,86.5,73.2,Good,No
PF000257,E00079,2022-07-24,E00017,77.5,71.3,67.3,85.5,Good,No
PF000258,E00079,2023-01-22,E00017,72.6,48.4,89.2,92.9,Good,No
PF000259,E00079,2023-07-23,E00017,63.5,70.3,80.2,53.1,Average,No
PF000260,E00079,2024-01-21,E00017,82.8,64.0,77.1,62.5,Good,No
PF000261,E00079,2024-07-21,E00017,68.2,51.6,84.3,65.6,Average,No
PF000262,E00080,2025-03-18,E00035,53.7,84.1,90.0,67.0,Good,No
PF000263,E00081,2021-01-30,E00048,62.6,64.9,77.0,65.4,Average,No
PF000264,E00083,2023-05-31,E00049,69.4,64.6,64.1,73.8,Average,No
PF000265,E00083,2023-11-29,E00049,80.3,80.4,71.7,65.0,Good,Yes
PF000266,E00083,2024-05-29,E00049,73.2,74.7,87.5,68.5,Good,No
PF000267,E00083,2024-11-27,E00049,75.0,66.5,91.6,79.5,Good,Yes
PF000268,E00083,2025-05-28,E00049,100.0,55.4,59.6,79.9,Good,No
PF000269,E00085,2021-08-09,E00085,87.4,89.2,85.3,86.4,Good,Yes
PF000270,E00085,2022-02-07,E00085,79.1,79.1,80.1,100.0,Good,No
PF000271,E00085,2022-08-08,E00085,80.7,86.6,89.8,70.0,Good,Yes
PF000272,E00085,2023-02-06,E00085,87.9,67.0,99.3,90.1,Good,Yes
PF000273,E00085,2023-08-07,E00085,65.9,62.5,78.0,72.1,Average,No
PF000274,E00085,2024-02-05,E00085,82.8,92.0,73.0,83.5,Good,Yes
PF000275,E00085,2024-08-05,E00085,79.7,72.0,73.9,78.5,Good,No
PF000276,E00085,2025-02-03,E00085,89.7,87.7,71.2,56.8,Good,Yes
PF000277,E00086,2023-07-03,E00016,73.8,69.8,71.3,68.2,Good,No
PF000278,E00086,2024-01-01,E00016,92.4,56.7,99.1,65.7,Good,No
PF000279,E00086,2024-07-01,E00016,85.5,74.5,63.0,85.2,Good,No
PF000280,E00086,2024-12-30,E00016,100.0,100.0,80.8,73.8,Good,No
PF000281,E00086,2025-06-30,E00016,77.5,72.0,94.9,63.9,Good,Yes
PF000282,E00087,2024-08-16,E00063,70.1,92.4,83.8,63.3,Good,Yes
PF000283,E00087,2025-02-14,E00063,83.2,57.9,71.9,72.6,Good,No
PF000284,E00088,2022-07-26,E00088,82.6,79.1,85.5,80.9,Good,No
PF000285,E00088,2023-01-24,E00088,83.8,60.0,75.0,65.2,Good,No
PF000286,E00088,2023-07-25,E00088,78.8,82.8,77.8,72.7,Good,No
PF000287,E00088,2024-01-23,E00088,100.0,72.8,86.7,80.8,Good,Yes
PF000288,E00088,2024-07-23,E00088,100.0,49.1,84.1,91.6,Good,No
PF000289,E00088,2025-01-21,E00088,65.7,62.3,80.4,65.9,Average,No
PF000290,E00089,2020-07-19,E00089,52.2,91.6,72.5,77.6,Good,No
PF000291,E00089,2021-01-17,E00089,80.6,64.9,75.4,71.2,Good,Yes
PF000292,E00089,2021-07-18,E00089,71.3,69.1,85.9,80.1,Good,Yes
PF000293,E00089,2022-01-16,E00089,79.4,61.2,77.2,71.6,Good,Yes
PF000294,E00089,2022-07-17,E00089,83.8,73.0,79.6,72.8,Good,No
PF000295,E00089,2023-01-15,E00089,70.0,72.1,100.0,84.7,Good,No
PF000296,E00089,2023-07-16,E00089,93.5,67.4,76.4,83.0,Good,No
PF000297,E00089,2024-01-14,E00089,57.3,83.3,84.5,77.2,Good,No
PF000298,E00089,2024-07-14,E00089,62.7,72.9,63.1,75.5,Average,No
PF000299,E00089,2025-01-12,E00089,66.8,61.8,73.0,66.1,Average,No
PF000300,E00090,2025-04-30,E00078,62.9,93.3,78.6,71.4,Good,No
PF000301,E00092,2023-04-29,E00031,60.6,75.1,78.0,70.3,Good,Yes
PF000302,E00092,2023-10-28,E00031,78.3,62.5,82.3,71.3,Good,Yes
PF000303,E00092,2024-04-27,E00031,83.3,74.5,69.2,59.8,Good,No
PF000304,E00092,2024-10-26,E00031,78.0,58.5,72.6,78.5,Good,Yes
PF000305,E00092,2025-04-26,E00031,70.9,85.1,83.5,70.0,Good,No
PF000306,E00093,2023-11-18,E00038,51.7,82.1,84.2,77.2,Good,No
PF000307,E00093,2024-05-18,E00038,95.9,71.1,72.0,86.8,Good,No
PF000308,E00093,2024-11-16,E00038,69.6,80.7,86.2,81.5,Good,No
PF000309,E00093,2025-05-17,E00038,73.1,64.7,72.2,90.9,Good,Yes
PF000310,E00094,2020-07-06,E00077,72.8,79.9,97.1,100.0,Good,No
PF000311,E00094,2021-01-04,E00077,89.4,59.8,63.9,81.2,Good,Yes
PF000312,E00094,2021-07-05,E00077,58.3,81.6,83.3,95.5,Good,Yes
PF000313,E00094,2022-01-03,E00077,71.4,83.3,87.5,79.0,Good,Yes
PF000314,E00094,2022-07-04,E00077,75.2,82.4,88.4,77.8,Good,No
PF000315,E00094,2023-01-02,E00077,79.3,73.4,97.2,69.2,Good,No
PF000316,E00094,2023-07-03,E00077,76.6,69.6,79.0,83.9,Good,No
PF000317,E00094,2024-01-01,E00077,73.1,77.1,73.2,79.0,Good,No
PF000318,E00095,2024-01-29,E00063,78.5,68.0,70.5,63.3,Good,Yes
PF000319,E00095,2024-07-29,E00063,75.9,88.1,78.4,73.0,Good,Yes
PF000320,E00095,2025-01-27,E00063,64.0,81.7,75.7,75.0,Good,No
PF000321,E00096,2025-05-03,E00034,90.1,92.3,80.4,71.6,Good,Yes
PF000322,E00097,2024-03-04,E00034,62.0,84.3,85.3,85.0,Good,No
PF000323,E00097,2024-09-02,E00034,79.8,67.2,89.5,70.4,Good,No
PF000324,E00097,2025-03-03,E00034,98.9,92.9,82.0,82.2,Good,Yes
PF000325,E00098,2023-11-09,E00098,54.2,74.4,77.1,86.5,Good,No
PF000326,E00098,2024-05-09,E00098,88.3,62.7,78.5,52.5,Good,Yes
PF000327,E00098,2024-11-07,E00098,89.0,43.7,77.9,80.9,Good,No
PF000328,E00098,2025-05-08,E00098,71.1,58.6,80.0,60.5,Average,No
PF000329,E00099,2022-08-23,E00049,75.5,71.7,64.6,84.6,Good,Yes
PF000330,E00099,2023-02-21,E00049,80.5,86.2,60.4,86.8,Good,No
PF000331,E00099,2023-08-22,E00049,94.4,43.2,72.6,80.5,Good,No
PF000332,E00099,2024-02-20,E00049,66.7,69.9,94.2,62.7,Good,No
