Leave_ID,Employee_ID,Leave_Type,Start_Date,End_Date,Total_Days,Approval_Status
L000106,E00019,Sick,2023-01-08,2023-01-11,4,Approved
L000107,E00019,Sick,2022-10-23,2022-10-27,5,Pending
L000108,E00019,Annual,2025-03-27,2025-03-27,1,Approved
L000109,E00019,Maternity,2024-02-02,2024-04-22,81,Approved
L000110,E00019,Sick,2024-05-01,2024-05-04,4,Approved
L000111,E00019,Annual,2022-06-14,2022-06-19,6,Approved
L000112,E00019,Unpaid,2022-11-23,2022-11-26,4,Approved
L000113,E00019,Casual,2024-01-07,2024-01-09,3,Rejected
L000114,E00019,Paternity,2024-07-19,2024-07-23,5,Approved
L000115,E00019,Annual,2022-11-29,2022-12-01,3,Approved
L000116,E00019,Casual,2023-10-06,2023-10-11,6,Approved
L000117,E00019,Sick,2022-07-28,2022-07-30,3,Approved
L000118,E00019,Casual,2022-02-09,2022-02-13,5,Approved
L000119,E00020,Annual,2023-09-26,2023-09-29,4,Approved
L000120,E00020,Casual,2023-10-02,2023-10-06,5,Rejected
L000121,E00020,Annual,2024-01-10,2024-01-12,3,Approved
L000122,E00020,Annual,2024-01-05,2024-01-09,5,Approved
L000123,E00021,Casual,2022-06-10,2022-06-11,2,Approved
L000124,E00021,Paternity,2020-04-19,2020-04-30,12,Approved
L000125,E00021,Annual,2020-07-08,2020-07-14,7,Pending
L000126,E00021,Casual,2023-09-17,2023-09-19,3,Approved
L000127,E00021,Casual,2023-06-17,2023-06-20,4,Approved
L000128,E00021,Annual,2023-07-09,2023-07-09,1,Approved
L000129,E00021,Casual,2025-05-19,2025-05-20,2,Approved
L000130,E00021,Sick,2022-02-23,2022-03-01,7,Approved
L000131,E00021,Sick,2023-02-12,2023-02-12,1,Approved
L000132,E00021,Sick,2020-05-13,2020-05-18,6,Approved
L000133,E00021,Casual,2023-09-06,2023-09-09,4,Approved
L000134,E00021,Sick,2024-04-29,2024-04-30,2,Pending
L000135,E00021,Paternity,2021-09-04,2021-09-16,13,Approved
L000136,E00021,Sick,2020-06-13,2020-06-15,3,Pending
L000137,E00021,Annual,2022-07-09,2022-07-09,1,Pending
L000138,E00021,Unpaid,2020-11-30,2020-12-03,4,Approved
L000139,E00021,Casual,2024-09-28,2024-09-28,1,Approved
L000140,E00021,Annual,2023-07-25,2023-07-29,5,Rejected
L000141,E00022,Maternity,2025-01-26,2025-04-11,76,Approved
L000142,E00022,Sick,2023-10-17,2023-10-22,6,Approved
L000143,E00022,Casual,2023-09-05,2023-09-08,4,Approved
L000144,E00022,Casual,2023-09-07,2023-09-09,3,Approved
L000145,E00022,Maternity,2021-10-18,2022-01-03,78,Rejected
L000146,E00022,Casual,2025-02-20,2025-02-23,4,Approved
L000147,E00022,Casual,2022-06-27,2022-07-03,7,Approved
L000148,E00022,Casual,2024-08-17,2024-08-19,3,Approved
L000149,E00022,Sick,2021-10-13,2021-10-13,1,Approved
L000150,E00022,Maternity,2023-07-31,2023-10-17,79,Approved
L000151,E00022,Sick,2023-07-23,2023-07-24,2,Approved
L000152,E00023,Paternity,2024-01-20,2024-01-30,11,Approved
L000153,E00023,Unpaid,2023-01-08,2023-01-11,4,Approved
L000154,E00023,Casual,2023-06-10,2023-06-10,1,Approved
L000155,E00023,Sick,2023-07-24,2023-07-29,6,Approved
L000156,E00023,Annual,2024-07-30,2024-07-31,2,Approved
L000157,E00023,Sick,2023-10-16,2023-10-20,5,Approved
L000158,E00023,Sick,2021-02-21,2021-02-21,1,Approved
L000159,E00023,Casual,2022-01-18,2022-01-24,7,Approved
L000160,E00023,Sick,2021-09-18,2021-09-21,4,Approved
L000161,E00023,Sick,2021-04-09,2021-04-10,2,Approved
L000162,E00023,Annual,2021-05-21,2021-05-21,1,Pending
L000163,E00023,Annual,2024-01-02,2024-01-08,7,Approved
L000164,E00023,Paternity,2023-12-23,2024-01-04,13,Pending
L000165,E00023,Maternity,2021-08-26,2021-11-19,86,Approved
L000166,E00023,Casual,2023-04-06,2023-04-12,7,Approved
L000167,E00024,Casual,2025-04-11,2025-04-12,2,Approved
L000168,E00024,Paternity,2021-11-21,2021-11-30,10,Approved
L000169,E00024,Paternity,2023-09-14,2023-09-23,10,Approved
L000170,E00024,Sick,2024-02-18,2024-02-18,1,Approved
L000171,E00024,Sick,2022-08-28,2022-08-31,4,Approved
L000172,E00024,Casual,2025-01-06,2025-01-12,7,Approved
L000173,E00024,Paternity,2023-09-15,2023-09-25,11,Approved
L000174,E00024,Sick,2024-01-16,2024-01-21,6,Approved
L000175,E00024,Paternity,2022-08-03,2022-08-11,9,Approved
L000176,E00024,Casual,2022-12-03,2022-12-07,5,Approved
L000177,E00024,Casual,2024-05-21,2024-05-27,7,Approved
L000178,E00025,Sick,2022-01-11,2022-01-13,3,Approved
L000179,E00025,Sick,2022-02-26,2022-02-27,2,Approved
L000180,E00025,Annual,2022-01-02,2022-01-07,6,Approved
L000181,E00025,Casual,2022-03-02,2022-03-08,7,Approved
L000182,E00026,Casual,2020-12-28,2020-12-29,2,Approved
L000183,E00026,Sick,2020-02-25,2020-02-28,4,Approved
L000184,E00026,Sick,2024-01-09,2024-01-10,2,Approved
L000185,E00026,Sick,2020-05-01,2020-05-07,7,Approved
L000186,E00026,Sick,2024-08-09,2024-08-14,6,Approved
L000187,E00026,Unpaid,2024-12-25,2024-12-31,7,Pending
L000188,E00026,Paternity,2023-06-20,2023-07-03,14,Approved
L000189,E00026,Sick,2020-08-02,2020-08-06,5,Approved
L000190,E00026,Sick,2022-07-01,2022-07-06,6,Rejected
L000191,E00026,Sick,2020-03-19,2020-03-23,5,Rejected
L000192,E00026,Sick,2020-09-11,2020-09-11,1,Approved
L000193,E00026,Casual,2021-06-26,2021-06-27,2,Approved
L000194,E00026,Maternity,2024-08-14,2024-10-23,71,Approved
L000195,E00026,Annual,2024-07-23,2024-07-29,7,Rejected
L000196,E00026,Annual,2020-06-02,2020-06-03,2,Approved
L000197,E00026,Maternity,2021-02-03,2021-04-11,68,Approved
L000198,E00027,Annual,2024-08-29,2024-08-31,3,Approved
L000199,E00027,Annual,2024-06-17,2024-06-21,5,Approved
L000200,E00027,Annual,2024-07-17,2024-07-22,6,Approved
L000201,E00027,Casual,2024-03-05,2024-03-06,2,Approved
L000202,E00027,Maternity,2025-03-16,2025-06-11,88,Approved
L000203,E00027,Sick,2024-08-16,2024-08-18,3,Approved
L000204,E00027,Sick,2024-08-02,2024-08-02,1,Approved
L000205,E00027,Sick,2024-02-02,2024-02-04,3,Approved
L000206,E00027,Annual,2024-10-06,2024-10-06,1,Approved
L000207,E00027,Annual,2025-04-25,2025-04-25,1,Approved
L000208,E00028,Annual,2025-01-28,2025-02-01,5,Approved
L000209,E00028,Sick,2025-04-02,2025-04-05,4,Approved
L000210,E00028,Annual,2025-03-26,2025-03-31,6,Approved
L000211,E00029,Casual,2024-06-09,2024-06-13,5,Approved
L000212,E00029,Paternity,2024-10-27,2024-11-07,12,Approved
L000213,E00029,Casual,2024-11-11,2024-11-17,7,Approved
L000214,E00029,Annual,2024-07-17,2024-07-19,3,Approved
L000215,E00029,Annual,2024-05-06,2024-05-10,5,Approved
L000216,E00029,Casual,2025-02-12,2025-02-17,6,Approved
L000217,E00030,Unpaid,2020-07-20,2020-07-25,6,Approved
L000218,E00031,Casual,2024-08-27,2024-08-29,3,Approved
L000219,E00031,Annual,2024-11-03,2024-11-05,3,Approved
L000220,E00032,Sick,2023-01-07,2023-01-13,7,Approved
L000221,E00032,Casual,2022-08-12,2022-08-13,2,Rejected
L000222,E00032,Casual,2023-02-06,2023-02-12,7,Approved
L000223,E00032,Maternity,2022-11-27,2023-02-05,71,Approved
L000224,E00032,Casual,2022-12-18,2022-12-24,7,Approved
L000225,E00033,Casual,2025-06-16,2025-06-20,5,Approved
L000226,E00033,Annual,2025-04-18,2025-04-21,4,Approved
L000227,E00034,Casual,2024-07-30,2024-07-30,1,Rejected
L000228,E00034,Annual,2023-06-10,2023-06-11,2,Approved
L000229,E00034,Unpaid,2022-10-28,2022-11-03,7,Approved
L000230,E00035,Sick,2025-06-04,2025-06-04,1,Pending
L000231,E00036,Sick,2024-04-27,2024-04-27,1,Approved
L000232,E00036,Sick,2024-07-16,2024-07-17,2,Approved
L000233,E00036,Sick,2023-12-19,2023-12-21,3,Approved
L000234,E00036,Sick,2025-01-20,2025-01-24,5,Approved
L000235,E00036,Sick,2023-11-12,2023-11-18,7,Approved
L000236,E00036,Sick,2024-11-18,2024-11-22,5,Approved
L000237,E00036,Annual,2024-06-08,2024-06-12,5,Approved
L000238,E00037,Casual,2024-10-27,2024-10-29,3,Rejected
L000239,E00037,Casual,2024-06-13,2024-06-18,6,Pending
L000240,E00038,Casual,2022-01-07,2022-01-11,5,Approved
L000241,E00038,Casual,2022-07-10,2022-07-11,2,Approved
L000242,E00038,Casual,2022-02-16,2022-02-17,2,Approved
L000243,E00038,Paternity,2021-08-21,2021-08-31,11,Approved
L000244,E00038,Paternity,2022-07-09,2022-07-13,5,Approved
L000245,E00040,Casual,2025-04-19,2025-04-21,3,Approved
L000246,E00041,Sick,2023-06-07,2023-06-11,5,Approved
L000247,E00041,Paternity,2022-01-24,2022-02-03,11,Approved
L000248,E00041,Sick,2024-03-17,2024-03-17,1,Approved
L000249,E00041,Casual,2023-01-10,2023-01-12,3,Approved
L000250,E00041,Annual,2024-09-30,2024-10-04,5,Approved
L000251,E00041,Casual,2022-12-30,2023-01-05,7,Approved
L000252,E00041,Casual,2023-01-27,2023-01-31,5,Approved
L000253,E00041,Casual,2022-09-02,2022-09-03,2,Rejected
L000254,E00041,Annual,2025-06-03,2025-06-03,1,Approved
L000255,E00041,Paternity,2021-12-16,2021-12-30,15,Rejected
L000256,E00041,Annual,2023-03-15,2023-03-20,6,Approved
L000257,E00041,Annual,2022-01-20,2022-01-26,7,Approved
L000258,E00041,Casual,2023-12-14,2023-12-16,3,Approved
L000259,E00041,Maternity,2025-01-27,2025-04-04,68,Approved
L000260,E00041,Maternity,2022-08-17,2022-11-09,85,Approved
L000261,E00041,Casual,2024-02-09,2024-02-10,2,Approved
L000262,E00041,Annual,2022-06-12,2022-06-12,1,Approved
L000263,E00041,Casual,2024-01-12,2024-01-14,3,Approved
L000264,E00041,Maternity,2022-08-19,2022-11-08,82,Approved
L000265,E00041,Casual,2025-06-06,2025-06-11,6,Approved
L000266,E00042,Annual,2021-05-09,2021-05-14,6,Approved
L000267,E00042,Casual,2022-03-20,2022-03-20,1,Approved
L000268,E00042,Casual,2021-10-29,2021-11-04,7,Approved
L000269,E00042,Casual,2022-08-12,2022-08-13,2,Rejected
L000270,E00042,Sick,2022-10-04,2022-10-04,1,Pending
L000271,E00042,Casual,2022-05-28,2022-05-30,3,Approved
L000272,E00042,Sick,2022-06-24,2022-06-24,1,Approved
L000273,E00043,Casual,2021-08-04,2021-08-10,7,Pending
L000274,E00043,Casual,2022-07-22,2022-07-27,6,Approved
L000275,E00043,Annual,2021-09-05,2021-09-05,1,Approved
L000276,E00043,Casual,2021-07-27,2021-08-02,7,Approved
L000277,E00043,Casual,2022-02-19,2022-02-21,3,Approved
L000278,E00043,Sick,2022-03-03,2022-03-04,2,Approved
L000279,E00043,Sick,2022-03-21,2022-03-23,3,Approved
L000280,E00044,Maternity,2024-09-11,2024-11-15,66,Approved
L000281,E00045,Casual,2025-01-07,2025-01-10,4,Approved
L000282,E00045,Casual,2024-12-24,2024-12-25,2,Approved
L000283,E00045,Casual,2024-09-08,2024-09-14,7,Approved
L000284,E00045,Sick,2025-03-11,2025-03-13,3,Pending
L000285,E00045,Annual,2025-04-05,2025-04-11,7,Pending
L000286,E00045,Casual,2025-02-06,2025-02-08,3,Approved
L000287,E00045,Maternity,2024-11-07,2025-01-23,78,Pending
L000288,E00045,Annual,2024-09-19,2024-09-25,7,Approved
L000289,E00048,Paternity,2022-05-24,2022-06-04,12,Approved
L000290,E00048,Sick,2023-03-19,2023-03-22,4,Rejected
L000291,E00048,Sick,2023-11-12,2023-11-14,3,Approved
L000292,E00048,Annual,2024-02-16,2024-02-22,7,Approved
L000293,E00048,Casual,2023-06-17,2023-06-21,5,Pending
L000294,E00048,Sick,2023-10-28,2023-11-03,7,Approved
L000295,E00048,Casual,2023-05-25,2023-05-27,3,Approved
L000296,E00048,Annual,2023-09-28,2023-10-03,6,Approved
L000297,E00048,Sick,2023-06-02,2023-06-06,5,Approved
L000298,E00048,Annual,2022-06-24,2022-06-26,3,Approved
L000299,E00048,Annual,2025-05-01,2025-05-03,3,Approved
L000300,E00048,Unpaid,2025-05-25,2025-05-25,1,Approved
L000301,E00048,Paternity,2024-01-07,2024-01-21,15,Rejected
L000302,E00048,Casual,2024-11-21,2024-11-27,7,Approved
L000303,E00048,Casual,2024-07-18,2024-07-18,1,Rejected
L000304,E00049,Paternity,2024-09-29,2024-10-13,15,Approved
L000305,E00049,Sick,2024-09-14,2024-09-19,6,Approved
L000306,E00049,Casual,2024-12-08,2024-12-11,4,Approved
L000307,E00049,Sick,2025-04-23,2025-04-29,7,Approved
L000308,E00049,Annual,2025-06-17,2025-06-22,6,Pending
L000309,E00049,Sick,2024-01-29,2024-02-04,7,Approved
L000310,E00049,Unpaid,2024-01-19,2024-01-21,3,Approved
L000311,E00051,Sick,2023-11-05,2023-11-05,1,Rejected
L000312,E00051,Annual,2025-04-30,2025-04-30,1,Approved
L000313,E00051,Casual,2025-04-06,2025-04-07,2,Approved
L000314,E00051,Paternity,2024-02-20,2024-02-24,5,Approved
L000315,E00051,Casual,2025-03-10,2025-03-15,6,Approved
L000316,E00051,Annual,2024-07-30,2024-08-04,6,Approved
L000317,E00052,Sick,2024-03-20,2024-03-22,3,Approved
L000318,E00052,Sick,2025-06-13,2025-06-19,7,Approved
L000319,E00052,Annual,2023-12-02,2023-12-07,6,Approved
L000320,E00053,Casual,2020-12-06,2020-12-10,5,Approved
L000321,E00053,Sick,2021-02-16,2021-02-20,5,Approved
L000322,E00053,Sick,2020-04-22,2020-04-27,6,Approved
L000323,E00053,Casual,2020-04-28,2020-05-03,6,Approved
L000324,E00053,Paternity,2021-01-16,2021-01-26,11,Approved
L000325,E00053,Casual,2020-08-02,2020-08-03,2,Approved
L000326,E00053,Paternity,2020-12-03,2020-12-15,13,Approved
L000327,E00054,Sick,2025-05-01,2025-05-04,4,Approved
L000328,E00055,Annual,2023-12-22,2023-12-26,5,Rejected
L000329,E00055,Casual,2025-06-26,2025-07-01,6,Rejected
L000330,E00055,Casual,2024-03-19,2024-03-19,1,Approved
L000331,E00055,Sick,2023-11-04,2023-11-08,5,Approved
L000332,E00055,Casual,2023-10-14,2023-10-19,6,Approved
L000333,E00055,Sick,2025-06-06,2025-06-07,2,Approved
L000334,E00055,Sick,2024-01-31,2024-02-01,2,Approved
L000335,E00055,Annual,2023-08-21,2023-08-21,1,Rejected
L000336,E00055,Sick,2024-10-09,2024-10-11,3,Approved
L000337,E00055,Annual,2025-05-13,2025-05-18,6,Approved
L000338,E00056,Sick,2024-12-13,2024-12-17,5,Approved
L000339,E00056,Sick,2024-08-22,2024-08-27,6,Approved
L000340,E00056,Casual,2025-01-12,2025-01-17,6,Approved
L000341,E00056,Sick,2024-01-31,2024-02-01,2,Approved
L000342,E00056,Annual,2024-01-26,2024-01-30,5,Approved
L000343,E00056,Sick,2023-12-22,2023-12-27,6,Approved
L000344,E00056,Casual,2025-01-31,2025-02-03,4,Approved
L000345,E00057,Sick,2021-11-04,2021-11-10,7,Approved
L000346,E00057,Annual,2022-12-08,2022-12-13,6,Approved
L000347,E00057,Unpaid,2021-04-02,2021-04-06,5,Pending
L000348,E00057,Annual,2023-12-10,2023-12-12,3,Approved
L000349,E00057,Casual,2022-03-07,2022-03-13,7,Approved
L000350,E00057,Casual,2022-07-31,2022-08-02,3,Approved
L000351,E00057,Sick,2021-01-28,2021-02-02,6,Approved
L000352,E00057,Casual,2022-02-15,2022-02-18,4,Approved
L000353,E00057,Sick,2023-11-25,2023-11-30,6,Approved
L000354,E00057,Sick,2024-08-06,2024-08-09,4,Rejected
L000355,E00057,Casual,2024-05-21,2024-05-26,6,Approved
L000356,E00057,Sick,2022-04-17,2022-04-20,4,Approved
L000357,E00057,Sick,2020-07-14,2020-07-18,5,Approved
L000358,E00057,Sick,2021-04-15,2021-04-21,7,Approved
L000359,E00057,Annual,2023-01-20,2023-01-25,6,Approved
L000360,E00057,Sick,2023-02-03,2023-02-05,3,Approved
L000361,E00057,Annual,2024-07-21,2024-07-23,3,Approved
L000362,E00058,Sick,2021-08-14,2021-08-17,4,Approved
L000363,E00058,Sick,2021-05-18,2021-05-21,4,Rejected
L000364,E00058,Sick,2023-01-25,2023-01-26,2,Pending
L000365,E00058,Sick,2023-04-29,2023-05-02,4,Approved
L000366,E00058,Annual,2022-11-09,2022-11-09,1,Approved
L000367,E00058,Sick,2022-05-19,2022-05-19,1,Rejected
L000368,E00058,Sick,2022-03-12,2022-03-16,5,Approved
L000369,E00058,Sick,2021-08-03,2021-08-07,5,Rejected
L000370,E00058,Paternity,2022-02-17,2022-02-28,12,Pending
L000371,E00059,Maternity,2024-09-24,2024-11-23,61,Approved
L000372,E00059,Casual,2024-09-20,2024-09-21,2,Approved
L000373,E00059,Sick,2025-03-14,2025-03-14,1,Approved
L000374,E00060,Sick,2023-08-23,2023-08-25,3,Approved
L000375,E00060,Casual,2025-05-17,2025-05-18,2,Approved
L000376,E00060,Sick,2024-07-23,2024-07-25,3,Approved
L000377,E00060,Sick,2025-01-30,2025-01-30,1,Approved
L000378,E00060,Casual,2023-08-17,2023-08-19,3,Approved
L000379,E00060,Sick,2024-09-17,2024-09-21,5,Approved
L000380,E00060,Sick,2023-12-04,2023-12-07,4,Rejected
L000381,E00061,Sick,2025-01-03,2025-01-09,7,Approved
L000382,E00061,Sick,2024-07-24,2024-07-24,1,Approved
L000383,E00061,Unpaid,2024-04-05,2024-04-08,4,Approved
L000384,E00061,Sick,2025-03-30,2025-04-01,3,Approved
L000385,E00061,Annual,2024-08-26,2024-08-28,3,Approved
L000386,E00062,Sick,2022-11-08,2022-11-12,5,Approved
L000387,E00063,Sick,2024-03-04,2024-03-05,2,Approved
L000388,E00063,Annual,2023-10-26,2023-10-30,5,Pending
L000389,E00063,Maternity,2023-03-29,2023-06-23,87,Approved
L000390,E00063,Sick,2022-12-29,2022-12-29,1,Approved
L000391,E00063,Casual,2024-01-27,2024-01-27,1,Approved
L000392,E00063,Sick,2024-04-09,2024-04-10,2,Approved
L000393,E00063,Annual,2023-05-16,2023-05-22,7,Approved
L000394,E00064,Sick,2025-06-21,2025-06-21,1,Approved
L000395,E00064,Annual,2024-09-13,2024-09-18,6,Approved
L000396,E00064,Annual,2025-04-28,2025-05-01,4,Approved
L000397,E00064,Casual,2022-08-03,2022-08-06,4,Rejected
L000398,E00064,Annual,2025-06-26,2025-06-29,4,Pending
L000399,E00064,Annual,2024-03-04,2024-03-09,6,Approved
L000400,E00064,Maternity,2024-03-10,2024-06-06,89,Approved
L000401,E00064,Annual,2024-03-04,2024-03-07,4,Approved
L000402,E00064,Sick,2022-05-17,2022-05-23,7,Approved
L000403,E00064,Annual,2024-02-13,2024-02-17,5,Approved
L000404,E00064,Unpaid,2024-05-26,2024-05-26,1,Approved
L000405,E00064,Casual,2025-02-24,2025-03-01,6,Approved
L000406,E00064,Sick,2023-11-01,2023-11-07,7,Approved
L000407,E00065,Sick,2022-01-12,2022-01-15,4,Approved
L000408,E00065,Casual,2021-05-11,2021-05-11,1,Approved
L000409,E00065,Sick,2021-08-22,2021-08-25,4,Approved
L000410,E00065,Annual,2023-04-10,2023-04-12,3,Approved
L000411,E00065,Annual,2024-02-14,2024-02-16,3,Approved
L000412,E00065,Casual,2023-06-06,2023-06-06,1,Approved
L000413,E00065,Annual,2021-04-05,2021-04-05,1,Approved
L000414,E00065,Casual,2023-06-23,2023-06-23,1,Rejected
L000415,E00065,Casual,2022-07-17,2022-07-22,6,Approved
L000416,E00065,Annual,2023-06-19,2023-06-19,1,Approved
L000417,E00065,Casual,2020-11-10,2020-11-16,7,Approved
L000418,E00065,Maternity,2022-12-01,2023-02-21,83,Approved
L000419,E00066,Casual,2025-04-28,2025-04-28,1,Approved
L000420,E00066,Sick,2024-06-30,2024-07-02,3,Approved
L000421,E00066,Annual,2023-10-24,2023-10-29,6,Approved
L000422,E00066,Casual,2024-05-13,2024-05-18,6,Approved
L000423,E00066,Annual,2024-05-08,2024-05-14,7,Approved
L000424,E00066,Annual,2025-06-04,2025-06-05,2,Rejected
L000425,E00067,Casual,2025-03-23,2025-03-28,6,Approved
L000426,E00067,Casual,2025-03-29,2025-04-03,6,Approved
L000427,E00068,Casual,2024-12-01,2024-12-03,3,Approved
L000428,E00068,Sick,2021-06-09,2021-06-10,2,Rejected
L000429,E00068,Sick,2021-12-26,2021-12-27,2,Approved
L000430,E00068,Casual,2023-02-18,2023-02-20,3,Approved
